Company,Country,Year,Accountability Score,Decarbonisation Score,Energy Procurement Score,Financing Decarbonisation Score,Just Transition and Advocacy Score,Traceability Score,Fashion Transparency Index
Lacoste,,2024,4,4.444444444,0,2,0,4.444444444,1.333333333
"Lands' End, Inc.",,2024,0.3333333333,0,0,0,0,0,0.1
LC Waikiki,,2024,0,0,0,0,0,0,0.06666666667
Levi Strauss & Co.,,2024,5.5,6,2,9.111111111,0,6,3.75
Li-Ning,,2024,0,0,0,1.333333333,0,0,0.6666666667
Lidl Limited,,2024,1,0.8888888889,0,1.333333333,0,0.8888888889,1.5
Lindex,,2024,5.333333333,6.222222222,2,0,0,6.222222222,1.933333333
LL Bean,,2024,0.1666666667,0,2,0,0,0,0.3833333333
Longchamp,,2024,0,0,0,0,0,0,0
Louis Vuitton Malletier SA (LVMH),,2024,0.3333333333,0,5.555555556,2.666666667,0,0,2.733333333
lululemon athletica,,2024,6.166666667,6.222222222,2.444444444,6.888888889,0,6.222222222,4.95
Macy's,,2024,2.166666667,2.444444444,2,2.666666667,0,2.444444444,1.85
Mammut Sports Group AG,,2024,2.166666667,2.444444444,0,0,10,2.444444444,1.916666667
"MANGO (Punto Fa, S.L.)",,2024,5.166666667,4.888888889,4,2.666666667,0,4.888888889,3.383333333
Marc Jacobs,,2024,0.3333333333,0,5.555555556,2.666666667,0,0,2.733333333
Marks and Spencer Group plc,,2024,2.666666667,3.111111111,2,4.666666667,0,3.111111111,2.4
Marni,,2024,1.333333333,0,2,0,0,0,1.766666667
Massimo Dutti S.A.,,2024,1,0,4,4.666666667,10,0,4.066666667
Matalan,,2024,5.166666667,6.222222222,0,0,0,6.222222222,0.9833333333
Max Fashion,,2024,0,0,2,0,0,0,0.3
Max Mara,,2024,0,0,0,0,0,0,0
Merrell,,2024,0,0,2,0,0,0,0.3666666667
Metersbonwe,,2024,0,0,0,0,0,0,0
Mexx,,2024,0,0,0,0,0,0,0
Miu Miu,,2024,5.166666667,5.777777778,6,4.666666667,0,5.777777778,3.816666667
Mizuno Corporation,,2024,1.833333333,2.222222222,0,2.666666667,0,2.222222222,1.516666667
Moncler,,2024,1,0,2,4.666666667,0,0,2.7
Monoprix,,2024,0,0,2,2.666666667,0,0,1.433333333
Mr Price,,2024,0,0,0,0,0,0,0.06666666667
Muji,,2024,3.666666667,4.444444444,0,2.666666667,0,4.444444444,1.7
"New Balance Athletic Shoe, Inc.",,2024,4.5,5.333333333,2.444444444,4.666666667,0,5.333333333,3.483333333
New Look Retail Group,,2024,4.5,5.333333333,0,2.666666667,0,5.333333333,2.05
